source_id,source_type,relation,target_id,target_type,repo,metadata
github:coado,AUTHOR,authored_commit,91c6c4d4aedccde789a5cfbe390cb49009cc4b1b,COMMIT,facebook/react-native,
github:coado,AUTHOR,authored_commit,4aacd3f2becd29ca4a026a3979eb064aee163b82,COMMIT,facebook/react-native,
github:coado,AUTHOR,authored_commit,d596a3d2f3aa4889b6019d37341c49c16cf5f5a0,COMMIT,facebook/react-native,
github:coado,AUTHOR,authored_commit,f0b51fc6bf40afad973118f4a05ad72371158c5a,COMMIT,facebook/react-native,
github:coado,AUTHOR,authored_commit,20cf9bca83c54bdac8c40781446d77b9c8b212ad,COMMIT,facebook/react-native,
github:coado,AUTHOR,authored_commit,3a14967f819a8dacafeebd6fac3326857b66d11f,COMMIT,facebook/react-native,
github:coado,AUTHOR,authored_commit,b3032d866c5c53357a136c0d130b095594fcda8a,COMMIT,facebook/react-native,
github:coado,AUTHOR,authored_commit,59660bc0e10fa07cca3d2d2f89904cf347d0382b,COMMIT,facebook/react-native,
github:coado,AUTHOR,authored_commit,78a7718d6cb5b4d590b5a450a1f2d98dfcc08df9,COMMIT,facebook/react-native,
github:coado,AUTHOR,authored_commit,140509f7d4b75bbf69b1d8b417e146cba6ee99b3,COMMIT,facebook/react-native,
github:coado,AUTHOR,authored_commit,4391a5f4b0f51372a579c123c16b9cf43e07ea68,COMMIT,facebook/react-native,
github:coado,AUTHOR,authored_commit,62ce98db99e421e452525a3244bc0a3ee922c032,COMMIT,facebook/react-native,
github:coado,AUTHOR,authored_commit,756203cb27636f2c3baa99ccfabfbff8b0e1c1f0,COMMIT,facebook/react-native,
github:coado,AUTHOR,authored_commit,e6f0724c4ec1470d9b175a2d889108ca62216ca5,COMMIT,facebook/react-native,
github:coado,AUTHOR,authored_commit,248d38e5c1791ae02ecba0a1a012be82ccae9abc,COMMIT,facebook/react-native,
github:coado,AUTHOR,authored_commit,d0ec2956f8f43c416e02298fdcc3896569f10595,COMMIT,facebook/react-native,
github:coado,AUTHOR,authored_commit,882dbe01184db422cd19f6d79b379ddae419b32c,COMMIT,facebook/react-native,
github:rubennorte,AUTHOR,authored_commit,4b4ae62e95071b4c28e3a58050797cb453799211,COMMIT,facebook/react-native,
email:5c7d4dd99769089cdada749957fe6840f43228b2e1eef57cc3332cf1af25f450,AUTHOR,authored_commit,8101fc776d842b8b92a516f74831e2056bc34aa6,COMMIT,facebook/react-native,
github:robhogan,AUTHOR,authored_commit,fa6576623ecd5ed22b7c2b6d1670e024c78fbfce,COMMIT,facebook/react-native,
github:christophpurrer,AUTHOR,authored_commit,11322298717706c5b2fe31231ade9bf755e7e890,COMMIT,facebook/react-native,
github:christophpurrer,AUTHOR,authored_commit,e102592064e8ee0cd7dc1d45c13c3fddeaa9d6e6,COMMIT,facebook/react-native,
github:javache,AUTHOR,authored_commit,3d119aca4f2c8a9bfd5588b3b037fba276db51ad,COMMIT,facebook/react-native,
github:javache,AUTHOR,authored_commit,455c49c6ba2081a4f82e2f0d1ca6593c08197d4c,COMMIT,facebook/react-native,
email:753455eca071f974a8dc743d1f1e7c16d9767096e02115b561e6bb0f578d2c92,AUTHOR,authored_commit,0b7f031c51d755f1ab2d530a1779c48ee207b817,COMMIT,facebook/react-native,
github:mdvacca,AUTHOR,authored_commit,ec9ac81dcd844f59ee3458ce617af362c8018403,COMMIT,facebook/react-native,
github:mdvacca,AUTHOR,authored_commit,aab8df30342c786a1279837da5f52dd58c2a4dcf,COMMIT,facebook/react-native,
github:mdvacca,AUTHOR,authored_commit,b5b3982e4d45cb16d9e07e883eb69b208e1ec298,COMMIT,facebook/react-native,
github:mdvacca,AUTHOR,authored_commit,ec0da32227c5b15dcd0a593b31ddb1c5747d2a18,COMMIT,facebook/react-native,
github:panagosg7,AUTHOR,authored_commit,cb7fc01c0beda71beca6b029d58e14b0c07dd53f,COMMIT,facebook/react-native,
github:christophpurrer,AUTHOR,authored_commit,ceb1e883fb61056929b73adb1575b3ba00bc8a96,COMMIT,facebook/react-native,
github:gkz,AUTHOR,authored_commit,cd0dbf5bc52475f62c207f3b1fc5850beb4a9705,COMMIT,facebook/react-native,
github:zeyap,AUTHOR,authored_commit,670d7695775a81efabe8f9d62966872053ae65ab,COMMIT,facebook/react-native,
